,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration
0,zseEC_csfLs,Selena Gomez - Topic,Revival,"Provided to YouTube by Universal Music Group

Revival · Selena Gomez

Revival

℗ 2015 Interscope Records

Released on: 2015-10-09

Producer: Rock Mafia
Producer: Hit-Boy
Composer  Lyricist: Antonina Armato
Composer  Lyricist: Chauncey Hollis
Composer  Lyricist: Julia Michaels
Composer  Lyricist: Adam Schmalholz
Composer  Lyricist: Selena Gomez
Composer  Lyricist: T. Price
Composer  Lyricist: Justin Tranter

Auto-generated by YouTube.","['Selena Gomez', 'セレーナゴメス', 'セレーナ・ゴメス', 'Revival', 'リバイバル']",2018-11-03T10:44:52Z,2395919,25130,316,PT4M7S
1,HHP5MKgK0o8,SelenaGomezVEVO,Selena Gomez - Kill Em With Kindness,"Get Selena's new album 'Rare', out now: http://smarturl.it/RARESG

Get 'Kill Em With Kindness,’ out now:
iTunes: http://smarturl.it/SGRevival 
Google Play: http://smarturl.it/SGRevivalGPstnd   

Sign up for updates from Selena: http://smarturl.it/SelenaGomez.News
Get Selena’s official Revival Tour Merch: http://smarturl.it/SGRevivalD2C 

http://vevo.ly/gd7VJM","['selena gomez', 'kill em with kindness', 'selena gomez kill em with kindness', 'kill em with kindness selena gomez', 'kill them with kindness', 'selena gomez songs', 'kill with kindness', 'селена гомес', 'kill them with kindness selena gomez', 'kill him with kindness']",2016-06-06T16:00:01Z,533616987,3948962,176664,PT3M44S
2,FMlcn-_jpWY,SelenaGomezVEVO,Selena Gomez - Hands To Myself,"Get Selena's new album 'Rare', out now: http://smarturl.it/RARESG

Get Revival, out now: http://smarturl.it/SGRevival 

Sign up for updates: https://www.selenagomez.com/mailing-list

Music video by Selena Gomez performing Hands To Myself. (C) 2015 Interscope Records

http://vevo.ly/IV9c7y","['selena gomez', 'sexiest man alive', 'saxena video', 'video', 'hands to myself', 'six six six music video 2018', 'xxl', 'unknown', 'hands to myself selena gomez', 'sax']",2016-01-20T08:00:00Z,442202418,3300206,137738,PT3M48S
3,9h30Bx4Klxg,SelenaGomezVEVO,Selena Gomez - Same Old Love,"Get Selena's new album 'Rare', out now: http://smarturl.it/RARESG

Get REVIVAL, out now: http://smarturl.it/sgrevival

Get exclusive REVIVAL merchandise bundles: http://smarturl.it/sgrevivald2c

Sign up for updates: https://www.selenagomez.com/mailing-list

Music video by Selena Gomez performing Same Old Love. (C) 2015 Interscope Records

http://vevo.ly/wmS0Bw","['selena gomez', 'same old love', 'selena gomez same old love', 'selena gomez songs', 'same old love selena gomez', 'селена гомес', 'selena', 'selena gomes', 'im so sick of that same old love your bodies had enough', '#selenagomez']",2015-10-07T16:00:01Z,476861030,3609413,94846,PT4M25S
4,qxVPVTijVtw,Selena Gomez - Topic,Sober,"Provided to YouTube by Universal Music Group

Sober · Selena Gomez

Revival

℗ 2015 Interscope Records

Released on: 2015-10-09

Producer: StarGate
Producer: benny blanco
Composer  Lyricist: Chloe Angelides
Composer  Lyricist: Jacob Kasher Hindlin
Composer  Lyricist: Julia Michaels
Composer  Lyricist: Tor Erik Hermansen
Composer  Lyricist: Mikkel Eriksen

Auto-generated by YouTube.","['Selena Gomez', 'セレーナゴメス', 'セレーナ・ゴメス', 'Revival', 'Sober', 'ソバー']",2018-11-03T10:45:11Z,2918052,33670,225,PT3M15S
5,DXKHCgNFk1I,LIVELOVEASAPVEVO,Selena Gomez - Good For You (Explicit) ft. A$AP ROCKY,"Get REVIVAL, out now: http://smarturl.it/sgrevival

Get exclusive REVIVAL merchandise bundles: http://smarturl.it/sgrevivald2c

Get “Good For You” ft. A$AP Rocky on iTunes now: http://smarturl.it/GoodForYouASAP

Sign up for updates: https://www.selenagomez.com/mailing-list

http://vevo.ly/srClCG","['A$AP Rocky', 'A$AP Rocky vevo', 'A$AP Rocky vevo official', 'A$AP Rocky good for you', 'good for you A$AP Rocky', 'A$AP Rocky revival', 'asap rocky', 'asap rocky vevo', 'asap rocky vevo official', 'asap rocky good for you', 'good for you asap rocky', 'asap rocky revival', 'good for you', 'good for you vevo', 'good for you vevo official', 'selena gomez', 'selena gomez vevo', 'selena gomez good for you', 'good for you selena gomez', 'Vevo', 'Vevo Music', 'Vevo Official Music Video', 'Hip Hop', 'Hip Hop Music']",2015-08-19T04:00:00Z,40811567,395182,10839,PT3M46S
6,mQ2MhA_Gix8,Selena Gomez - Topic,Camouflage,"Provided to YouTube by Universal Music Group

Camouflage · Selena Gomez

Revival

℗ 2015 Interscope Records

Released on: 2015-10-09

Producer: Chris Braide
Studio  Personnel, Mixer: Tony Maserati
Associated  Performer, Vocal  Producer: Daniel James
Associated  Performer, Vocal  Producer: Leah Pringle
Studio  Personnel, Vocal  Engineer, Associated  Performer, Vocal  Producer: Benjamin Rice
Studio  Personnel, Recording  Engineer: Will Sandals
Studio  Personnel, Mastering  Engineer: Chris Gehringer
Composer  Lyricist: Badrilla Bourelly
Composer  Lyricist: Chris Braide

Auto-generated by YouTube.","['Selena Gomez', 'セレーナゴメス', 'セレーナ・ゴメス', 'Revival', 'Camouflage', 'カモフラージュ']",2018-11-03T10:44:03Z,883525,12979,129,PT4M10S
7,2XFfWems2_A,SelenaGomezVEVO,Selena Gomez - Me & The Rhythm,"Get Selena's new album 'Rare', out now: http://smarturl.it/RARESG

Get REVIVAL, out now: http://smarturl.it/sgrevival

Get exclusive REVIVAL merchandise bundles: http://smarturl.it/sgrevivald2c

Sign up for updates: https://www.selenagomez.com/mailing-list

http://vevo.ly/RdAh9r","['selena gomez', 'me and the rhythm', 'selena gomez me and the rhythm', 'me & the rhythm', 'selena gomez songs', 'selena gomez rhythm', 'selena gomez me & the rhythm', 'selena gomez audio', 'me and rhythm', 'me and the rhythm selena gomez']",2015-10-02T04:00:00Z,54086919,555780,23299,PT3M31S
8,rok0Wq8BNn8,Selena Gomez - Topic,Survivors,"Provided to YouTube by Universal Music Group

Survivors · Selena Gomez

Revival

℗ 2015 Interscope Records

Released on: 2015-10-09

Producer: Steve Mac
Composer  Lyricist: Ross Golan
Composer  Lyricist: Steve Mac

Auto-generated by YouTube.","['Selena Gomez', 'セレーナゴメス', 'セレーナ・ゴメス', 'Revival', 'Survivors', 'サバイバーズ', 'サヴァイヴァーズ']",2018-11-03T10:45:04Z,754850,10595,115,PT3M42S
9,z0CLZG3GCb4,Selena Gomez - Topic,Body Heat,"Provided to YouTube by Universal Music Group

Body Heat · Selena Gomez

Revival

℗ 2015 Interscope Records

Released on: 2015-10-09

Producer, Studio  Personnel, Mixer: Rock Mafia
Producer: Hit-Boy
Studio  Personnel, Engineer: Adam Comstock
Studio  Personnel, Engineer: Danny Parra
Studio  Personnel, Engineer: Steve Hammons
Studio  Personnel, Mastering  Engineer: Chris Gehringer
Associated  Performer, Vocal  Producer, Studio  Personnel, Vocal  Engineer: Benjamin Rice
Composer  Lyricist: Antonina Armato
Composer  Lyricist: Chauncey Hollis
Composer  Lyricist: Julia Michaels
Composer  Lyricist: Selena Gomez
Composer  Lyricist: T. Price
Composer  Lyricist: Justin Tranter

Auto-generated by YouTube.","['Selena Gomez', 'セレーナゴメス', 'セレーナ・ゴメス', 'Revival', 'Body Heat', 'ボディヒート', 'ボディ・ヒート']",2018-11-03T10:44:05Z,729794,9830,93,PT3M28S
